authorId,name
39246361,Johnny Israeli
3369052,Jack Lanchantin
8230326,Stephen Woloszynek
1721012,Anne E Carpenter
3407268,Avanti Shrikumar
1807918,Jinbo Xu
30469485,Evan M. Cofer
39291675,Christopher A. Lavender
3178417,Srinivas C. Turaga
35786407,Amr M. Alexandari
144202084,Zhiyong Lu
145192391,David J Harris
1973239,David DeCaprio
121817403,Yanjun Qi
2844479,Anshul B Kundaje
2699239,Yifan Peng
3116087,L. K. Wiley
3451383,Marwin H. S. Segler
2831521,S. Boca
7946353,S. Joshua Swamidass
119855034,Austin Huang
2041407,A. Gitter
2104940,C. Greene
1714528,T. Sejnowski
145357606,Yandong Wen
3393556,Kaipeng Zhang
2111316339,Zhifeng Li
143970608,Y. Qiao
144259229,Yang You
2152907411,Jing Li
1981186,Sashank J. Reddi
50157269,Jonathan Hseu
152663162,Sanjiv Kumar
1798880,Srinadh Bhojanapalli
1718192,Xiaodan Song
1700326,J. Demmel
1732330,K. Keutzer
1793529,Cho-Jui Hsieh
1388350203,Tim O'Shea
2554032,Tamoghna Roy
144047524,T. Clancy
145056818,A. Lundervold
153872285,A. Lundervold
2089063597,Hao Ye
1410112765,Geoffrey Y. Li
143604406,B. Juang
1687503,Yanming Guo
2146399228,Yu Liu
31532800,Ard A. J. Oerlemans
1716428,Songyang Lao
143785883,Song Wu
1731570,M. Lew
2217144,Simon Osindero
1725303,Y. Teh
7242095,Lazhar Khelifi
1996026,M. Mignotte
1979817,M. M. Najafabadi
2142983,Flavio Villanustre
1809915,Naeem Seliya
145539319,Randall Wald
50076239,Edin A. Muharemagic
2113706378,Thomas G. Fischer
2059611649,C. Krauss
145666330,Y. Ham
2116929825,Jeong-Hwan Kim
4046793,Jing Luo
145564250,Kyle Swanson
2238569661,Andres Cubillos-Ruiz
2238568506,George M. Church
2238581547,Eric D. Brown
2238579593,James J. Collins
1953070,W. Claster
40482726,R. Devon Hjelm
26920432,A. Fedorov
1412884705,Samuel Lavoie-Marchildon
14007973,Karan Grewal
3382568,Adam Trischler
144222395,K. Ren
1557274576,Tianhang Zheng
3330305,Zhan Qin
2151061691,Xue Liu
143997136,Khan Muhammad
145263228,Salman Khan
9221552,J. Ser
51905607,V. H. C. de Albuquerque
10357841,Pinkesh Badjatiya
46414662,Shashank Gupta
46722320,Manish Gupta
1704709,Vasudeva Varma
2065647966,Nikhila Ravi
39906022,J. Reizenstein
35117729,David Novotný
2845416,Taylor Gordon
3317278,Wan-Yen Lo
2115231104,Justin Johnson
2082991,Georgia Gkioxari
2378903149,Yuhai Wu
2107901992,Lefei Zhang
145728792,Bo Du
2884561,Sebastian Ruder
1508337194,Minjie Wang
2490788,Lingfan Yu
122579067,Da Zheng
47594426,Quan Gan
2851123,Yujie Gai
3060913,Zihao Ye
2112144150,Mufei Li
9695889,Jinjing Zhou
2111041646,Qi Huang
2112662910,Chao Ma
2116357414,Ziyue Huang
3187768,Qipeng Guo
145140331,Haotong Zhang
49955730,Haibin Lin
7818229,J. Zhao
46276184,Jinyang Li
46234526,Alex Smola
38448016,Zheng Zhang
144125122,L. Jiao
70450696,Fan Zhang
47185625,Fang Liu
1702138,Shuyuan Yang
47681424,Lingling Li
1897949,Zhixi Feng
145036587,Rong Qu
1997436,B. Hitaj
1700850,G. Ateniese
1388508441,F. Pérez-Cruz
47666639,Hongming Chen
2859540,O. Engkvist
2143474686,Yinhai Wang
34671551,Marcus Olivecrona
50594282,T. Blaschke
47781592,Zhijian Liu
150127950,Haotian Tang
49417466,Yujun Lin
143840275,Song Han
2550764,Justin Fu
1488785534,Aviral Kumar
7624658,Ofir Nachum
145499435,G. Tucker
2377271,Bethany Lusch
144484983,J. Kutz
3083169,S. Brunton
2116011472,Suyog Gupta
31651864,A. Agrawal
33678523,K. Gopalakrishnan
32967358,P. Narayanan
49605588,Jinjiang Wang
2144365327,Yulin Ma
2109005084,Laibin Zhang
48198404,Dazhong Wu
152785197,S. Basu
105000868,Phillip E. Pope
34389431,S. Feizi
48249758,Massimiliano Luca
1743621,Gianni Barlacchi
49305855,B. Lepri
2276443364,Luca Pappalardo
2597292,Chuanqi Tan
143823065,F. Sun
145868988,Tao Kong
2109866658,Wenchang Zhang
2146345020,Chao Yang
50557305,Chunfang Liu
38053687,Deliang Wang
2855690,Jitong Chen
35582318,Payap Sirinam
144576599,M. Imani
35611333,Marc Juárez
1678887,M. Wright
1397392435,Alberto Garcia-Garcia
7540558,Sergio Orts
152298373,Sergiu Oprea
1409308132,Victor Villena-Martinez
2117020529,J. G. Rodríguez
2266039760,Prof. Samra Turajilic
2266040048,Prof. James Larkin
2266092083,Dr. Guang Yang
2143862099,Yuan Liu
2636295,Ayush Jain
1704215817,C. Eng
1704215619,David H. Way
71486688,Kang Lee
2065730079,P. Bui
1704224821,K. Kanada
2003117697,Guilherme de Oliveira Marinho
2064728699,Jessica Gallegos
1704216299,Sara Gabriele
1704215835,Vishakha Gupta
3269439,Nalini Singh
144223091,Vivek Natarajan
1397304857,R. Hofmann-Wellenhof
102388768,G. Corrado
49506408,L. Peng
47191829,D. Webster
153200043,Dennis Ai
2210669180,S. Huang
153236214,R. C. Dunn
87500645,David Coz
3955759,Jakob Nikolas Kather
3833069,A. Pearson
2341238,N. Halama
143794655,D. Jäger
1420072855,Jeremias Krause
7457632,S. Loosen
